region,subregion,country,city,stationId,pm10Mean,pm10Year,pm10Converted,pm10ConvertedNote,pm10ConvertedAlert,pm2.5Mean,pm2.5Year,pm2.5Converted,pm2.5ConvertedNote,pm2.5ConvertedAlert,temporalCoverage,dataCoverageAlert
African Region,AfrE,Tanzania,Morogoro,16,35,2011,,,,23,2011,,,,33 days,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result."
Region of the Americas,AmrB,Argentina,Buenos Aires,17,30,2012,,,,16,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",73% of days in the year,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result."
Region of the Americas,AmrD,Bolivia,Cochabamba,18,75,2010,,,,41,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrD,Bolivia,La Paz,19,42,2010,,,,23,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Americana,20,34,2012,,,,18,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Aracatuba,21,39,2012,,,,21,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Araraquara,22,31,2012,,,,17,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Araucaria,23,31,2010,,,,17,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Bauru,24,30,2012,,,,16,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Belo Horizonte,25,52,2011,,,,28,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",96%,
Region of the Americas,AmrB,Brazil,Betim,26,43,2011,,,,23,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",90%,
Region of the Americas,AmrB,Brazil,Campinas,27,31,2012,,,,17,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Carapicuiba,28,34,2012,,,,18,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Catanduva,29,38,2012,,,,21,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Colombo,30,46,2010,,,,25,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Curitiba,31,31,2010,,,,17,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Diadema,32,35,2012,,,,19,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Grande Vitoria,33,30,2010,,,,16,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Ibirite,34,31,2011,,,,17,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",75%,
Region of the Americas,AmrB,Brazil,Jacarei,35,26,2012,,,,14,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Jau,36,33,2012,,,,18,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Jundiai,37,29,2012,,,,16,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Limeira,38,46,2012,,,,25,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Marilia,39,21,2012,,,,11,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Maua,40,35,2012,,,,19,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Osasco,41,45,2012,,,,24,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Paulinia,42,32,2012,,,,17,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Piracicaba,43,42,2012,,,,15,2012,,,,NA,
Region of the Americas,AmrB,Brazil,Pirassununga,44,31,2012,,,,17,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Presidente Prudente,45,22,2012,,,,12,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Ribeirio Preto,46,30,2012,,,,16,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Rio Claro,47,50,2012,,,,27,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Rio de Janeiro,48,67,2010,,,,36,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Salvador,49,17,2010,,,,9,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Santa Gertrudes,50,81,2012,,,,44,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Santo Andre,51,36,2012,,,,19,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Sao Bernardo do Campo,52,35,2012,,,,19,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Sao Caetano do Sul,53,39,2012,,,,20,2012,,,,NA,
Region of the Americas,AmrB,Brazil,Sao Jose do Rio Preto,54,38,2012,,,,14,2012,,,,NA,
Region of the Americas,AmrB,Brazil,Sao Jose dos Campos,55,23,2012,,,,12,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Sao Paulo,56,35,2012,,,,19,2012,,,,NA,
Region of the Americas,AmrB,Brazil,Socoraba,57,32,2012,,,,17,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Taboao da Serra,58,35,2012,,,,19,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Brazil,Tatui,59,25,2012,,,,14,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Colombia,Bogota,60,48,2012,,,,27,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Colombia,Bucaramanga,61,39,2011,,,,22,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Colombia,Caldas,62,58,2011,,,,32,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Colombia,Cali,63,23,2010,,,,13,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Colombia,Copacabana,64,36,2011,,,,20,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Colombia,Giratoda,65,37,2011,,,,21,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Colombia,Itagui,66,46,2011,,,,26,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Colombia,Manizales,67,30,2010,,,,17,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Colombia,Medellin,68,48,2010,,,,27,2010,,,,NA,
Region of the Americas,AmrB,Colombia,Sabaneta,69,47,2011,,,,26,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Costa Rica,Alajuela,70,26,2011,,,,14,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Costa Rica,Belen,71,33,2011,,,,18,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Costa Rica,Heredia,72,45,2011,,,,24,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Costa Rica,San Jose,73,27,2011,,,,15,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrD,Ecuador,Ambato,74,20,2012,,,,9,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrD,Ecuador,Cuenca,75,35,2012,,,,17,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrD,Ecuador,Ibarra,76,18,2012,,,,9,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrD,Ecuador,Latacunga,77,28,2012,,,,14,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrD,Ecuador,Manta,78,28,2012,,,,13,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrD,Ecuador,Milagro,79,66,2012,,,,32,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrD,Ecuador,Portoviejo,80,25,2012,,,,12,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrD,Ecuador,Quito,81,38,2012,,,,18,2012,,,,NA,
Region of the Americas,AmrD,Ecuador,Santo Domingo,82,69,2012,,,,33,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrD,Guatemala,Guatemala city,83,45,2012,,,,33,2012,,,,NA,
Region of the Americas,AmrD,Honduras,Tegucigalpa,84,58,2013,,,,32,2013,,,,March to September 2013,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result."
Region of the Americas,AmrB,Jamaica,Clarendon,85,34,2011,,,,18,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",60%,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result."
Region of the Americas,AmrB,Jamaica,Ewarton,86,24,2011,,,,13,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",60%,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result."
Region of the Americas,AmrB,Jamaica,Kingston,87,37,2011,,,,20,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",60%,"This station has low data coverage (<75%), therefore the annual mean pollution level may not be an accurate representation of the annual conditions.  Caution is advised when interpreting this result."
Region of the Americas,AmrB,Mexico,Guadalajara,88,41,2011,,,,13,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",min. 75%,
Region of the Americas,AmrB,Mexico,Irapuato,89,55,2011,,,,18,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",min. 75%,
Region of the Americas,AmrB,Mexico,Leon,90,58,2011,,,,19,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",min. 75%,
Region of the Americas,AmrB,Mexico,Mexico city,91,93,2011,,,,25,2011,,,,NA,
Region of the Americas,AmrB,Mexico,Monterrey,92,86,2011,,,,36,2011,,,,NA,
Region of the Americas,AmrB,Mexico,Puebla,93,32,2011,,,,20,2011,,,,min. 75%,
Region of the Americas,AmrB,Mexico,Salamanca ,94,60,2011,,,,20,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",min. 75%,
Region of the Americas,AmrB,Mexico,Silao,95,51,2011,,,,16,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",min. 75%,
Region of the Americas,AmrB,Mexico,Toluca,96,80,2011,,,,33,2011,,,,min. 75%,
Region of the Americas,AmrD,Paraguay,Asuncion ,97,NA,NA,,,,18,2010,,,,NA,
Region of the Americas,AmrD,Peru,Lima,98,63,2011,,,,38,2011,,,,NA,
Region of the Americas,AmrB,Venezuela,Puerto La Cruz,99,59,2011,,,,32,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrB,Venezuela,Caracas,100,45,2011,,,,24,NA,Yes,3,"This PM2.5 value has been derived from a PM10 measurement, therefore caution is advised when interpreting this result.",NA,
Region of the Americas,AmrA,Canada,Abbotsford,101,NA,NA,,,,4,2012,,,,97%,
Region of the Americas,AmrA,Canada,Auclair,102,NA,NA,,,,5,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Barrie,103,21,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Bathurst,104,28,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Beaverlodge,105,NA,NA,,,,9,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Becancour,106,32,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Belleville,107,16,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",5,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Brampton,108,NA,NA,,,,7,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Brandon,109,26,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",6,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Brantford,110,26,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Burlington,111,NA,NA,,,,8,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Burnaby,112,11,2012,,,,4,2012,,,,96%,
Region of the Americas,AmrA,Canada,Burns Lake,113,17,2012,,,,5,2012,,,,98%,
Region of the Americas,AmrA,Canada,Calgary,114,53,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2010,,,,,
Region of the Americas,AmrA,Canada,Campbell River,115,10,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",4,2012,,,,0.914689781,
Region of the Americas,AmrA,Canada,Caroline,116,NA,NA,,,,5,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Castlegar,117,13,2012,,,,NA,NA,,,,97%,
Region of the Americas,AmrA,Canada,Chalk River,118,NA,NA,,,,4,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Charette,119,NA,NA,,,,9,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Chatham,120,25,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Chilliwack,121,11,2012,,,,4,2012,,,,99%,
Region of the Americas,AmrA,Canada,Cold Lake,122,NA,NA,,,,7,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Corner Brook,123,20,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2010,,,,,
Region of the Americas,AmrA,Canada,Cornwall,124,22,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Creston,125,21,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",4,2012,,,,0.959055657,
Region of the Americas,AmrA,Canada,Crofton,126,NA,NA,,,,4,2012,,,,95%,
Region of the Americas,AmrA,Canada,Debolt,127,NA,NA,,,,5,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Deschambault,128,NA,NA,,,,8,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Drayton Valley,129,27,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Duncan,130,11,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",4,2012,,,,0.950615876,
Region of the Americas,AmrA,Canada,Edmonton,131,30,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2010,,,,,
Region of the Americas,AmrA,Canada,Elk Island,132,NA,NA,,,,5,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Ferme Neuve,133,NA,NA,,,,6,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Flin Flon,134,21,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Fort Chipewyan,135,NA,NA,,,,5,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Fort Mackay,136,NA,NA,,,,5,2010,,,,,
Region of the Americas,AmrA,Canada,Fort Mcmurray,137,17,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",6,2010,,,,,
Region of the Americas,AmrA,Canada,Fort Saskatchewan,138,NA,NA,,,,9,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Fredericton,139,13,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",4,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Gatineau,140,NA,NA,,,,12,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Golden,141,17,2012,,,,6,2012,,,,96%,
Region of the Americas,AmrA,Canada,Grand Bend,142,NA,NA,,,,8,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Grand Forks,143,18,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",6,2012,,,,0.999657847,
Region of the Americas,AmrA,Canada,Grande Prairie,144,24,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2010,,,,,
Region of the Americas,AmrA,Canada,Guelph,145,23,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Hamilton,146,27,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",9,2010,,,,,
Region of the Americas,AmrA,Canada,Hinton,147,29,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Hope,148,10,2012,,,,4,2012,,,,99%,
Region of the Americas,AmrA,Canada,Houston,149,15,2012,,,,6,2012,,,,98%,
Region of the Americas,AmrA,Canada,Kelowna,150,13,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",4,2012,,,,0.980611314,
Region of the Americas,AmrA,Canada,Kingston,151,25,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Kitchener,152,24,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Kitimat,153,8,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",3,2012,,,,0.98776802,
Region of the Americas,AmrA,Canada,La Dore,154,NA,NA,,,,4,2010,,,,N/A,
Region of the Americas,AmrA,Canada,La Patrie,155,NA,NA,,,,4,2010,,,,N/A,
Region of the Americas,AmrA,Canada,La Peche,156,NA,NA,,,,6,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Lac-edouard,157,NA,NA,,,,7,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Lamont,158,NA,NA,,,,8,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Langley,159,10,2012,,,,4,2012,,,,94%,
Region of the Americas,AmrA,Canada,L'Assomption,160,NA,NA,,,,10,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Laval,161,NA,NA,,,,11,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Lethbridge,162,22,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2010,,,,N/A,
Region of the Americas,AmrA,Canada,London,163,23,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Longueuil,164,NA,NA,,,,9,2010,,,,,
Region of the Americas,AmrA,Canada,Medicine Hat,165,23,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",8,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Mississauga,166,NA,NA,,,,8,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Moncton,167,17,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",6,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Montreal,168,34,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",11,2010,,,,,
Region of the Americas,AmrA,Canada,Morrisburg,169,21,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",7,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Mount Pearl,170,NA,NA,,,,3,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Nanaimo,171,14,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",5,2012,,,,0.977988139,
Region of the Americas,AmrA,Canada,Nelson,172,12,2012,,,,4,2012,,,,96%,
Region of the Americas,AmrA,Canada,Newmarket,173,NA,NA,,,,7,2010,,,,N/A,
Region of the Americas,AmrA,Canada,North Bay,174,15,NA,Yes,1,"This PM10 value has been derived from a PM2.5 measurement, therefore caution is advised when interpreting this result.",5,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Notre-Dame-du-Rosaire,175,NA,NA,,,,5,2010,,,,N/A,
Region of the Americas,AmrA,Canada,Oakville,176,NA,NA,,,,7,2010,,,,N/A,
