city,latitude,longitude
"Hall In Tirol, Austria",47.280403,11.505848
"Hallein, Austria",47.68248,13.10037
"Hartberg, Austria",47.2815,15.97302
"Heiterwang, Austria",47.444123,10.748333
"Himberg, Austria",48.07329,16.43847
"H_chst, Austria",47.459272,9.635638
"Imst, Austria",47.24013,10.73954
"Innsbruck, Austria",47.269212,11.404102
"Judenburg, Austria",47.16826,14.65811
"Kapfenberg, Austria",47.443329,15.279191
"Kematen, Austria",47.25573,11.2734
"Klagenfurt, Austria",46.63646,14.312225
"Klosterneuburg, Austria",48.309866,16.323772
"Knittelfeld, Austria",47.21595,14.82719
"Krems, Austria",48.40999,15.60384
"Kufstein, Austria",47.58237,12.16275
"Leoben, Austria",47.37639,15.09113
"Lienz, Austria",46.82769,12.76272
"Liezen, Austria",47.56741,14.24315
"Linz, Austria",48.30694,14.28583
"Lustenau, Austria",47.420843,9.659446
"M_dling, Austria",48.08255,16.2869
"M�rzzuschlag, Austria",47.60687,15.67171
"Salzburg, Austria",47.80949,13.05501
"Sankt Andr_ Im Lavanttal, Austria",46.71538,14.86618
"Sankt Poelten, Austria",48.20353,15.63817
"Sankt Veit An Der Glan, Austria",46.76748,14.36151
"Schwaz, Austria",47.3502,11.70584
"Schwechat, Austria",48.140927,16.476378
"Spittal An Der Drau, Austria",46.79968,13.4928
"Steyr, Austria",48.05009,14.41827
"Steyregg, Austria",48.283524,14.371329
"Stockerau, Austria",48.386109,16.215697
"Traismaier, Austria",48.351868,15.741889
"Tulln, Austria",48.331495,16.060737
"Villach, Austria",46.60856,13.85062
"V_cklabruck, Austria",48.00334,13.65613
"Weiz, Austria",47.21717,15.62297
"Wels, Austria",48.16542,14.03664
"Wien, Austria",48.208174,16.373819
"Wiener Neudorf, Austria",48.085396,16.320342
"Wiener Neustadt, Austria",47.80279,16.23318
"Wolfsberg, Austria",46.8401,14.84277
"W_rgl, Austria",47.48561,12.064947
"Zeltweg, Austria",47.189824,14.752362
"Hamad Town, Bahrain",26.125644,50.498036
"Hidd, Bahrain",26.215901,50.668999
"Ma'Ameer, Bahrain",26.134677,50.613255
"Nabih Saleh, Bahrain",26.182327,50.584754
"Ras Hayan, Bahrain",26.04,50.631389
"Barisal, Bangladesh",22.702921,90.346597
"Chittagong, Bangladesh",22.347537,91.812332
"Dhaka, Bangladesh",23.810332,90.412518
"Gazipur, Bangladesh",23.991735,90.419588
"Khulna, Bangladesh",22.845641,89.540328
"Narayangonj, Bangladesh",23.62264,90.499797
"Rajshahi, Bangladesh",24.363589,88.624135
"Sylhet, Bangladesh",24.904539,91.861101
"Aarschot, Belgium",50.985996,4.836522
"Andenne, Belgium",50.491152,5.096454
"Antwerpen, Belgium",51.219448,4.402464
"Berendrecht, Belgium",51.34287,4.31409
"Bertrix, Belgium",49.854235,5.253556
"Boom, Belgium",51.08608,4.36633
"Brugge, Belgium",51.209348,3.2247
"Brussels, Belgium",50.85034,4.35171
"Charleroi, Belgium",50.41081,4.444643
"Chatelet, Belgium",50.4061,4.52786
"Corroy Le Grand, Belgium",50.66206,4.67458
"Dessel, Belgium",51.23985,5.11269
"Destelbergen, Belgium",51.060934,3.797765
"Engis, Belgium",50.583225,5.403714
"Evergem, Belgium",51.109971,3.706722
"Genk, Belgium",50.96613,5.5021
"Gent, Belgium",51.054342,3.717424
"Habay La Neuve, Belgium",49.728072,5.646045
"Hasselt, Belgium",50.93069,5.33248
"Herstal, Belgium",50.66618,5.63289
"Hoboken, Belgium",51.177573,4.34992
"Hoevenen, Belgium",51.306186,4.40473
"Landen, Belgium",50.75534,5.08081
"Liege, Belgium",50.632557,5.579666
"Mechelen, Belgium",51.025876,4.477536
"Menen, Belgium",50.796292,3.121342
"Moerkerke, Belgium",51.243057,3.340071
"Mons, Belgium",50.454241,3.956659
"Oostrozebeke, Belgium",50.920201,3.334601
"Retie, Belgium",51.266966,5.084251
"Roeselaere, Belgium",50.949909,3.129447
"Sainte-Ode, Belgium",50.02683,5.54655
"Seraing, Belgium",50.583883,5.49963
"Somme-Leuze, Belgium",50.339909,5.370043
"Steenokkerzeel, Belgium",50.90793,4.51349
"Tournai, Belgium",50.605648,3.387934
"Veurne, Belgium",51.073159,2.668034
"Vielsalm, Belgium",50.284017,5.91469
"Vilvoorde, Belgium",50.927251,4.425787
"Viroinval, Belgium",50.071472,4.605994
"Zelzate, Belgium",51.198711,3.811977
"Zwevegem, Belgium",50.812926,3.332698
"Zwijndrecht, Belgium",51.216412,4.333591
"Thimphu, Bhutan",27.472792,89.639286
"Cochabamba, Bolivia",-17.413977,-66.165322
"La Paz, Bolivia",-16.489689,-68.119294
"Sarajevo, Bosnia and Herzegovina",43.856259,18.413076
"Tuzla, Bosnia and Herzegovina",44.537461,18.673469
"Americana, Brazil",-22.737846,-47.333569
"Ara�atuba, Brazil",-21.202854,-50.453679
"Araraquara, Brazil",-21.784827,-48.178649
"Arauc�ria, Brazil",-25.586431,-49.405225
"Barra Mansa, Brazil",-22.540852,-44.17726
"Bauru, Brazil",-22.314459,-49.058695
"Campinas, Brazil",-22.909938,-47.062633
"Campos, Brazil",-21.76269,-41.318488
"Canoas, Brazil",-29.913258,-51.186192
"Cantagalo - Euclidel�ndia, Brazil",,
"Catanduva, Brazil",-21.131855,-48.977473
"Charqueadas, Brazil",-29.962977,-51.629387
"Colombo, Brazil",-25.292978,-49.226634
"Cordeir�polis _ M�dolo, Brazil",,
"Cubat�o, Brazil",-23.891615,-46.424414
"Curitiba, Brazil",-25.428954,-49.267137
"Gravata�, Brazil",,
"Itabora� , Brazil",,
"Itagua�, Brazil",,
"Jaboticabal, Brazil",-21.252514,-48.325676
"Jacarei, Brazil",-23.298783,-45.966254
"Japeri, Brazil",-22.643998,-43.660646
"Ja�, Brazil",,
"Jundia�, Brazil",,
"Limeira _ Boa Vista, Brazil",-22.562052,-47.391465
"Madre De Deus, Brazil",-12.74396,-38.616811
"Malemb�, Brazil",,
"Mar�lia, Brazil",-22.217585,-49.950529
"Paul�nia, Brazil",,
"Piracicaba, Brazil",-22.734286,-47.648064
"Porto Real, Brazil",-22.417965,-44.29559
"Presidente Prudente, Brazil",-22.121126,-51.393006
"Quatis, Brazil",-22.302729,-44.186855
"Regi�o Metropolitana De S�o Paulo, Brazil",-23.547778,-46.635833
"Regi�o Metropolitana Do Rio De Janeiro, Brazil",-22.810034,-43.406662
"Resende, Brazil",-22.470966,-44.451335
"Rio Claro, Brazil",-22.414902,-47.565139
"Santa Gertrudes _ Jd. Luciana, Brazil",-22.455182,-47.536135
"Santos, Brazil",-23.967882,-46.328887
"S�o Jos_ Do Rio Preto, Brazil",,
"S�o Jos_ Dos Campos, Brazil",-21.76269,-41.318488
"Serop_dica, Brazil",-22.75308,-43.715901
"Sorocaba, Brazil",-23.50153,-47.45256
"Tatu�, Brazil",,
"Volta Redonda, Brazil",-22.507767,-44.094613
"Blagoevgrad, Bulgaria",42.020857,23.094339
"Burgas, Bulgaria",42.504793,27.462636
"Devnia, Bulgaria",43.219738,27.558374
"Dimitrovgad, Bulgaria",42.054505,25.594525
"Dolny Voden, Bulgaria",42.023184,24.836737
"Galabovo, Bulgaria",42.135785,25.865131
"Gorna Oriahovica, Bulgaria",43.120802,25.689676
"Haskovo, Bulgaria",41.934437,25.555446
"Kardjaly, Bulgaria",41.633844,25.377712
"Lovech, Bulgaria",43.136953,24.714191
"Montana, Bulgaria",43.408516,23.225729
"Pazarjik, Bulgaria",42.192765,24.333566
"Pernik, Bulgaria",42.605186,23.037837
"Pirdop, Bulgaria",42.703374,24.177048
"Pleven, Bulgaria",43.417042,24.606685
"Plovdiv, Bulgaria",42.135408,24.74529
"Ruse, Bulgaria",43.835571,25.965655
"Shumen, Bulgaria",43.27124,26.936129
"Sliven, Bulgaria",42.681654,26.322869
"Smolian, Bulgaria",41.577415,24.701087
"Sofia, Bulgaria",42.697708,23.321868
"Stara Zagora, Bulgaria",42.425777,25.634464
"Varna, Bulgaria",43.21405,27.914733
"Veliko Tarnovo, Bulgaria",43.075674,25.617151
"Vratza, Bulgaria",43.210181,23.552921
"Bafoussam, Cameroon",5.480752,10.428418
"Bamenda, Cameroon",5.963051,10.159121
"Yaoud_, Cameroon",3.848033,11.502075
"Abbotsford, Canada",49.054587,-122.328026
"Auclair, Canada",47.728469,-68.644387
"Aylesford, Canada",45.028156,-64.836432
"Barrie, Canada",44.389356,-79.690332
"Bathurst, Canada",47.618351,-65.651336
"Beaverlodge, Canada",55.213974,-119.423302
"Belleville, Canada",44.162759,-77.383231
"Brampton, Canada",43.731548,-79.762418
"Brandon, Canada",49.848471,-99.95009
"Brantford, Canada",43.139387,-80.264425
"Bruderheim, Canada",53.803499,-112.926586
"Burlington, Canada",43.32552,-79.799032
"Burnaby, Canada",49.248809,-122.98051
"Calgary, Canada",51.048615,-114.070846
"Caroline, Canada",52.093932,-114.740442
"Castlegar, Canada",49.323741,-117.659334
"Charette, Canada",46.44065,-72.923934
"Chatham, Canada",42.404802,-82.191038
"Chilliwack, Canada",49.15794,-121.951467
"Cold Lake, Canada",54.464317,-110.173147
"Corner Brook, Canada",48.948997,-57.950273
"Cornwall, Canada",45.021276,-74.730345
"Courtenay, Canada",49.684139,-124.990449
"Dartmouth, Canada",44.665206,-63.567743
"Delta, Canada",49.095215,-123.026476
"Deschambault, Canada",46.65064,-71.929556
"Dorset, Canada",45.244235,-78.893889
"Duncan, Canada",48.778691,-123.707942
"Edmonton, Canada",53.544389,-113.490927
"Elk Island, Canada",53.781261,-112.982038
"Ferme Neuve, Canada",46.701978,-75.456654
"Flin Flon, Canada",54.765769,-101.876215
"Fort Mackay, Canada",57.186758,-111.636785
"Fort Mcmurray, Canada",56.72638,-111.380341
"Fort Saskatchewan, Canada",53.700716,-113.209466
"Fort St. John, Canada",56.252423,-120.846409
"Fredericton, Canada",45.96359,-66.643115
"Gatineau, Canada",45.476545,-75.701272
"Grand Bend, Canada",43.31304,-81.756224
"Grand Falls - Windsor, Canada",48.927669,-55.657502
"Grande Prairie, Canada",55.16994,-118.798615
"Guelph, Canada",43.544805,-80.248167
"Halifax, Canada",44.648863,-63.57532
"Hamilton, Canada",43.250021,-79.866091
"Hope, Canada",49.382993,-121.442475
"Houston, Canada",54.397997,-126.648209
"Kamloops, Canada",50.674522,-120.327267
"Kingston, Canada",44.231172,-76.485954
"Kitchener, Canada",43.412924,-80.477147
"La Dore, Canada",48.713647,-72.649283
"La Patrie, Canada",45.401858,-71.249643
"La Peche, Canada",45.68621,-75.992255
"Lac-Edouard, Canada",47.66173,-72.271136
"Lamont, Canada",53.760198,-112.779539
"Langdale, Canada",49.433873,-123.479057
"Langley, Canada",49.074331,-122.559322
"Laval, Canada",45.606649,-73.712409
"Lemieux, Canada",46.297243,-72.110739
"London, Canada",42.98695,-81.243177
"Longueuil, Canada",45.536944,-73.510713
"Mississauga, Canada",43.589045,-79.64412
"Moncton, Canada",46.087817,-64.778231
"Montreal, Canada",45.501689,-73.567256
"Morrisburg, Canada",44.897789,-75.183397
"Mount Pearl, Canada",47.520641,-52.807682
"Nanaimo, Canada",49.165884,-123.940065
"Nelson, Canada",49.492812,-117.294834
"Newmarket, Canada",44.059187,-79.461256
"Norman Wells, Canada",65.281494,-126.828652
"North Bay, Canada",46.309115,-79.46082
"North Vancouver, Canada",49.32699,-123.07328
"Notre-Dame-Du-Rosaire, Canada",46.825481,-70.392222
"Oakville, Canada",43.467517,-79.687666
"Oshawa, Canada",43.897093,-78.865791
"Ottawa, Canada",45.42153,-75.697193
"Parry Sound, Canada",45.347393,-80.034783
"Petawawa, Canada",45.898263,-77.282877
"Peterborough, Canada",44.309058,-78.319747
"Pictou, Canada",45.679332,-62.720603
"Port Alberni, Canada",49.233888,-124.805549
"Port Hawkesbury, Canada",45.627647,-61.358554
"Port Moody, Canada",49.284911,-122.867756
"Port Stanley, Canada",42.664135,-81.215633
"Powell River, Canada",49.835235,-124.524706
"Prince George, Canada",53.917064,-122.749669
"Quebec, Canada",52.939916,-73.549136
"Quesnel, Canada",52.981737,-122.494906
"Regina, Canada",50.445211,-104.618894
"Richmond, Canada",49.16659,-123.133569
"Rouyn-Noranda, Canada",48.234236,-79.018784
"Saguenay, Canada",48.428053,-71.068492
"Saint John, Canada",45.273315,-66.063308
"Saint-Faustin-Lac-Carre, Canada",46.110407,-74.482001
"Saint-Jean-Sur-Richelieu, Canada",45.305771,-73.25449
"Saint-Simon, Canada",47.844387,-69.877795
"Saint-Zephirin-De-Courval, Canada",46.059798,-72.62634
"Sarnia, Canada",42.974536,-82.40659
"Saskatoon, Canada",52.133214,-106.670046
"Sault Ste. Marie, Canada",46.521858,-84.34609
"Senneterre, Canada",48.390597,-77.241167
"Sherbrooke, Canada",45.400993,-71.882429
"Simcoe, Canada",42.837263,-80.304042
"St. Andrews, Canada",47.808351,-101.025207
"St. Catharines, Canada",43.159375,-79.246863
"St. John'S, Canada",47.560541,-52.712831
"St-Hilaire-De-Dorset, Canada",45.865231,-70.857041
"Stukely-Sud, Canada",45.316943,-72.415128
"Sudbury, Canada",46.522099,-80.953035
"Surrey, Canada",49.10443,-122.801094
"Sydney, Canada",46.13679,-60.194224
"Terrace, Canada",54.518193,-128.603154
"Thomson, Canada",45.720398,-63.762237
"Thunder Bay, Canada",48.380895,-89.247682
"Tingwick, Canada",45.88116,-71.943945
"Toronto, Canada",43.653226,-79.383184
"Trois-Rivieres, Canada",46.35468,-72.583787
"Vancouver, Canada",49.282729,-123.120738
"Vanderhoof, Canada",54.01398,-124.01298
"Varennes, Canada",45.681034,-73.437497
"Victoria, Canada",48.428421,-123.365644
"West Vancouver, Canada",49.334897,-123.166785
"Whitehorse, Canada",60.721187,-135.056845
"Williams Lake, Canada",52.141674,-122.141688
"Windsor, Canada",42.314937,-83.036363
"Winnipeg, Canada",49.899754,-97.137494
"Yellowknife, Canada",62.453972,-114.371789
"Andacollo, Chile",-30.235795,-71.082803
"Antofagasta, Chile",-23.650928,-70.397502
"Arica, Chile",-18.478253,-70.312599
"Copiap�, Chile",,
"Coquimbo, Chile",-29.959001,-71.338918
"Coyhaique, Chile",-45.571225,-72.068265
"Curico, Chile",-34.977985,-71.25288
"Huasco, Chile",-28.4664,-71.2192
"Maule, Chile",-35.51636,-71.572395
"Osorno, Chile",-40.57619,-73.114947
"Padre Las Casas, Chile",-38.7667,-72.6
"Punta Arenas, Chile",-53.163833,-70.917068
"Quilpu_, Chile",-33.048271,-71.440875
"Rancagua, Chile",-34.170132,-70.740626
"Rengo, Chile",-34.402379,-70.867441
"San Fernando, Chile",-34.58586,-70.99078
"Santiago, Chile",-33.44889,-70.669265
"Talagante, Chile",-33.663747,-70.927394
"Talca, Chile",-35.423244,-71.64848
"Temuco, Chile",-38.735902,-72.590374
"Valdivia, Chile",-39.817379,-73.242533
"Valpara�so, Chile",,
"Vina Del Mar, Chile",-33.015348,-71.550028
"Anshan, China",41.108647,122.994329
"San Luis Obispo-Paso Robles, Ca, United States of America",35.636876,-120.654502
"Sandersville,Washington,Ga, United States of America",32.981543,-82.810138
"Sanford, Nc, United States of America",35.479876,-79.180299
"Santa Barbara-Santa Maria-Goleta, Ca, United States of America",34.465213,-119.777255
"Santa Cruz-Watsonville, Ca, United States of America",36.910231,-121.756895
"Santa Rosa-Petaluma, Ca, United States of America",38.398785,-122.821474
"Sault Ste. Marie, Mi, United States of America",46.4953,-84.345317
"Seaford, De, United States of America",38.641226,-75.611038
"Seattle-Tacoma-Bellevue, Wa, United States of America",47.615657,-122.32679
"Sheridan, Wy, United States of America",44.797194,-106.956179
"Sierra Vista-Douglas, Az, United States of America",31.431512,-109.516846
"Sinclair,Carbon,Wy, United States of America",41.774959,-107.113103
"Sioux City, Ia-Ne-Sd, United States of America",42.499994,-96.400307
"Sioux Falls, Sd, United States of America",43.544596,-96.731103
"Somerset, Ky, United States of America",37.092022,-84.604108
"South Bend-Mishawaka, In-Mi, United States of America",41.69152,-86.228571
"Spartanburg, Sc, United States of America",34.949567,-81.932048
"Spokane, Wa, United States of America",47.65878,-117.426047
"Springfield, Ma, United States of America",42.101483,-72.589811
"Springfield, Mo, United States of America",37.208957,-93.292299
"Spruce Pine,Mitchell,Nc, United States of America",35.915401,-82.064561
"St. Cloud, Mn, United States of America",45.557945,-94.16324
"St. Joseph, Mo-Ks, United States of America",39.767458,-94.846681
"St. Louis, Mo-Il, United States of America",38.627003,-90.199404
"State College, Pa, United States of America",40.793395,-77.860001
"Stockton, Ca, United States of America",37.957702,-121.29078
"Stuttgart,Arkansas,Ar, United States of America",34.500375,-91.552628
"Syracuse, Ny, United States of America",43.048122,-76.147424
"Talladega-Sylacauga, Al, United States of America",33.173172,-86.251641
"Tallahassee, Fl, United States of America",30.438256,-84.280733
"Tampa-St. Petersburg-Clearwater, Fl, United States of America",28.036547,-82.681172
"Terre Haute, In, United States of America",39.466703,-87.413909
"Texarkana, Tx-Texarkana, Ar, United States of America",33.41261,-94.074085
"Thomasville-Lexington, Nc, United States of America",35.882468,-80.106453
"Toledo, Oh, United States of America",41.663938,-83.555212
"Topeka, Ks, United States of America",39.055824,-95.689018
"Torrington, Ct, United States of America",41.800305,-73.121171
"Trenton-Ewing, Nj, United States of America",40.261521,-74.817564
"Tucson, Az, United States of America",32.221743,-110.926479
"Tulsa, Ok, United States of America",36.153982,-95.992775
"Tuscaloosa, Al, United States of America",33.209841,-87.569173
"Ukiah, Ca, United States of America",39.150171,-123.207783
"Valdosta, Ga, United States of America",30.832702,-83.278485
"Vallejo-Fairfield, Ca, United States of America",38.256213,-121.928093
"Virginia Beach-Norfolk-Newport News, Va-Nc, United States of America",35.759573,-79.0193
"Visalia-Porterville, Ca, United States of America",36.06523,-119.016768
"Warner Robins, Ga, United States of America",32.613001,-83.624201
"Washington-Arlington-Alexandria, Dc-Va-Md-Wv, United States of America",38.597626,-80.454903
"Waterloo-Cedar Falls, Ia, United States of America",42.520394,-92.435371
"Watertown, Sd, United States of America",44.899409,-97.115073
"Weirton-Steubenville, Wv-Oh, United States of America",40.417287,-82.907123
"Wenden, Az, United States of America",33.82253,-113.541594
"Wheeling, Wv-Oh, United States of America",40.063962,-80.720915
"Wichita, Ks, United States of America",37.687176,-97.330053
"Williston, Nd, United States of America",48.146968,-103.617974
"Wilmington, Nc, United States of America",34.225726,-77.94471
"Winchester, Va-Wv, United States of America",39.18566,-78.163334
"Winona, Mn, United States of America",44.055391,-91.666352
"Winston-Salem, Nc, United States of America",36.09986,-80.244216
"Worcester, Ma, United States of America",42.262593,-71.802293
"Yakima, Wa, United States of America",46.602071,-120.505899
"Youngstown-Warren-Boardman, Oh-Pa, United States of America",41.079933,-80.66321
"Yreka,Siskiyou,Ca, United States of America",41.735419,-122.634471
"Yuma, Az, United States of America",32.692651,-114.627692
"Montevideo, Uruguay",-34.901113,-56.164531
"Caracas, Venezuela",10.480594,-66.903606
"Phoenix-Mesa-Scottsdale, Az, United States of America",33.678899,-111.883544
"Pikeville,Pike,Ky, United States of America",37.479267,-82.518763
"Pittsburgh, Pa, United States of America",40.440625,-79.995886
"Pittsfield, Ma, United States of America",42.450085,-73.245382
"Pocatello, Id, United States of America",42.871303,-112.445534
"Portland-Vancouver-Beaverton, Or-Wa, United States of America",47.751074,-120.740139
"Portola,Plumas,Ca, United States of America",39.810457,-120.469103
"Portsmouth, Oh, United States of America",38.731743,-82.997674
"Poughkeepsie-Newburgh-Middletown, Ny, United States of America",41.445927,-74.422934
"Prineville, Or, United States of America",44.299849,-120.834466
"Providence-New Bedford-Fall River, Ri-Ma, United States of America",42.407211,-71.382437
"Provo-Orem, Ut, United States of America",40.286006,-111.692627
"Pueblo, Co, United States of America",38.254447,-104.609141
"Quincy,Plumas,Ca, United States of America",39.936836,-120.947176
"Raleigh-Cary, Nc, United States of America",35.817867,-78.792512
"Rapid City, Sd, United States of America",44.080543,-103.231015
"Reading, Pa, United States of America",40.335648,-75.926875
"Redding, Ca, United States of America",40.58654,-122.391675
"Reno-Sparks, Nv, United States of America",39.516934,-119.816219
"Richmond, Va, United States of America",37.540725,-77.436048
"Richmond-Berea, Ky, United States of America",37.692171,-84.259497
"Riverside-San Bernardino-Ontario, Ca, United States of America",34.063344,-117.650888
"Roanoke, Va, United States of America",37.27097,-79.941427
"Rochester, Mn, United States of America",44.012122,-92.480199
"Rochester, Ny, United States of America",43.16103,-77.610922
"Rumford,Oxford,Me, United States of America",44.553661,-70.550883
"Rutland, Vt, United States of America",43.610624,-72.972606
"Sacramento--Arden-Arcade--Roseville, Ca, United States of America",38.652613,-121.389788
"Salinas, Ca, United States of America",36.677737,-121.655501
"Salisbury, Nc, United States of America",35.670973,-80.474226
"Salt Lake City, Ut, United States of America",40.760779,-111.891047
"San Andreas,Calaveras,Ca, United States of America",38.19603,-120.680487
"San Antonio, Tx, United States of America",29.424122,-98.493628
"San Diego-Carlsbad-San Marcos, Ca, United States of America",33.13306,-117.212511
"San Francisco-Oakland-Fremont, Ca, United States of America",37.776979,-122.231952
"San Jose-Sunnyvale-Santa Clara, Ca, United States of America",37.325315,-122.05282
"Anyang, China",36.097577,114.392393
"Baoding, China",38.874434,115.46459
"Baoji, China",34.363184,107.237743
"Baotou, China",40.657378,109.840349
"Beihai, China",21.481291,109.120161
"Beijing, China",39.904211,116.407395
"Benxi, China",41.486981,123.685143
"Binzhou, China",37.38198,117.9707
"Cangzhou, China",38.304477,116.838835
"Changchun, China",43.817072,125.323544
"Changde, China",29.031673,111.698497
"Changhua, China",23.987919,120.469464
"Changsha, China",28.228209,112.938814
"Changshu, China",31.654376,120.752481
"Changzhi, China",36.195409,113.116404
"Changzhou, China",31.811226,119.974062
"Chaozhou, China",23.656704,116.622756
"Chengde, China",40.952942,117.96275
"Chengdu, China",30.572816,104.066801
"Chiayi, China",23.451843,120.255462
"Chifeng, China",42.257817,118.886856
"Chongqing, China",29.56301,106.551556
"Dalian, China",38.914003,121.614682
"Dandong, China",40.000787,124.354451
"Daqing, China",46.58931,125.103784
"Datong, China",40.076763,113.300129
"Deyang, China",31.126856,104.397894
"Dezhou, China",37.434093,116.357465
"Dongguan, China",23.020673,113.7518
"Dongying, China",37.434751,118.674767
"Eerduosi, China",39.608266,109.781327
"Foshan, China",23.021479,113.121436
"Fushun, China",41.880872,123.957208
"Fuyang, China",32.890124,115.814205
"Fuzhou, China",26.074508,119.296494
"Guangzhou, China",23.12911,113.264385
"Guilin, China",25.234479,110.179954
"Guiyang, China",26.647661,106.630154
"Haikou, China",20.044002,110.198293
"Haimen, China",31.871173,121.181615
"Handan, China",36.625657,114.538962
"Hangzhou, China",30.274085,120.15507
"Harbin, China",45.803775,126.534967
"Hefei, China",31.820592,117.227219
"Hengshui, China",37.73892,115.670177
"Heyuan, China",23.743686,114.700961
"Heze, China",35.23375,115.480656
"Hohhot, China",40.842585,111.749181
"Hong Kong, China",22.396428,114.109497
"Hsinchu, China",24.813829,120.96748
"Huai'An, China",33.61036,119.015288
"Hualien, China",23.987159,121.601571
"Huizhou, China",23.112257,114.415801
"Huludao, China",40.711041,120.83694
"Huzhou, China",30.894348,120.086823
"Jiangmen, China",22.579117,113.081508
"Jiangyin, China",31.920658,120.284939
"Jiaonan, China",28.290125,102.19239
"Jiaozhou, China",36.26468,120.033382
"Jiaozuo, China",35.215893,113.241823
"Jiaxing, China",30.753924,120.758543
"Jiayuguan, China",39.77313,98.289152
"Jieyang, China",23.549993,116.372831
"Jilin, China",43.837883,126.549572
"Jimo, China",36.389402,120.447161
"Jinan, China",36.651216,117.12
"Jinchang, China",38.520089,102.188043
"Jingzhou, China",30.335165,112.239741
"Jinhua, China",29.079175,119.647421
"Jining, China",35.414982,116.587282
"Jintan, China",31.723248,119.597897
"Jinzhou, China",39.05046,121.782769
"Jiujiang, China",29.705077,116.00193
"Jurong, China",31.944999,119.168695
"Kaifeng, China",34.797281,114.307583
"Kaohsiung, China",22.627278,120.301435
"Karamay, China",45.579889,84.889207
"Keelung, China",25.1276,121.739181
"Kinmen, China",24.445833,118.376111
"Korla, China",41.725891,86.174633
"Kunming, China",24.880095,102.832892
"Kunshan, China",31.385598,120.980737
"Laiwu, China",36.213814,117.676724
"Laixi, China",36.889084,120.51769
"Laizhou, China",37.177017,119.942327
"Langfang, China",39.538047,116.683752
"Lanzhou, China",36.061089,103.834304
"Lhasa, China",29.652491,91.17211
"Lianyungang, China",34.596653,119.221611
"Liaocheng, China",36.45703,115.98546
"Lienchiang, China",26.855047,100.227751
"Lin'An, China",30.233873,119.724733
"Linfen, China",36.088005,111.518976
"Linyi, China",35.104674,118.356414
"Lishui, China",28.46763,119.922796
"Liuzhou, China",24.326038,109.42841
"Liyang, China",26.855047,100.227751
"Luoyang, China",34.619683,112.45404
"Luzhou, China",28.871811,105.442258
"Maanshan, China",31.670452,118.50676
"Maoming, China",21.662999,110.925456
"Meizhou, China",24.288615,116.122239
"Mianyang, China",31.467495,104.678946
"Miaoli, China",24.560159,120.821427
"Mudanjiang, China",44.551653,129.633169
"Nanchang, China",28.682892,115.858198
"Nanchong, China",30.837793,106.110698
"Nanjing, China",32.060255,118.796877
"Nanning, China",22.817002,108.366543
"Nantong, China",31.980172,120.894291
"Nantou, China",23.960998,120.971864
"New Taipei, China",25.06221,121.457045
